# Step	Acceptance_Rate	Sequence_Identity_%	CAI	Free_Energy	CpG	Stem	UTR_Hybridisation	Initial_Hybridisation
0	0.0000	100.0000	4.688388e-01	-9.699139e-01	2.000000e+01	0.000000e+00	6.446357e-01	5.561189e-01
100	0.7463	91.3669	4.941984e-01	-1.056743e+00	1.900000e+01	0.000000e+00	5.184131e-01	5.834459e-01
200	0.6296	86.8705	5.147627e-01	-1.131365e+00	1.700000e+01	0.000000e+00	6.121376e-01	5.005712e-01
300	0.5538	81.4748	5.331398e-01	-1.184675e+00	1.600000e+01	0.000000e+00	5.511071e-01	4.828202e-01
400	0.5385	76.2590	5.484042e-01	-1.266634e+00	1.600000e+01	0.000000e+00	5.176475e-01	4.999398e-01
500	0.5000	72.8417	5.557775e-01	-1.281032e+00	1.600000e+01	0.000000e+00	6.001636e-01	5.361146e-01
600	0.5538	69.9640	5.596292e-01	-1.307577e+00	1.600000e+01	0.000000e+00	5.250095e-01	5.258002e-01
700	0.4839	67.8058	5.647105e-01	-1.347788e+00	1.600000e+01	0.000000e+00	3.564780e-01	5.342151e-01
800	0.5517	64.0288	5.700729e-01	-1.396442e+00	1.400000e+01	0.000000e+00	3.518645e-01	5.441101e-01
900	0.5424	61.8705	5.838089e-01	-1.395353e+00	1.400000e+01	0.000000e+00	3.260511e-01	5.408746e-01
1000	0.7241	58.0935	5.956136e-01	-1.447706e+00	1.400000e+01	0.000000e+00	2.300671e-01	5.164602e-01
1100	0.4694	57.3741	5.949074e-01	-1.474903e+00	1.400000e+01	0.000000e+00	2.300818e-01	5.161920e-01
1200	0.7344	56.2950	5.980221e-01	-1.505284e+00	1.300000e+01	0.000000e+00	2.299048e-01	5.346371e-01
1300	0.4921	55.3957	6.088582e-01	-1.534014e+00	1.300000e+01	0.000000e+00	2.316144e-01	5.351436e-01
1400	0.5714	53.4173	6.166094e-01	-1.579034e+00	1.300000e+01	0.000000e+00	2.823493e-01	5.324503e-01
1500	0.7358	51.9784	6.334361e-01	-1.525213e+00	1.300000e+01	0.000000e+00	2.504048e-01	5.562003e-01
1600	0.4912	51.9784	6.348960e-01	-1.536668e+00	1.300000e+01	0.000000e+00	2.844516e-01	5.795070e-01
1700	0.6140	51.4388	6.550321e-01	-1.539591e+00	1.300000e+01	0.000000e+00	2.513274e-01	5.601698e-01
1800	0.6000	48.5612	6.525398e-01	-1.592091e+00	1.300000e+01	0.000000e+00	2.484387e-01	5.521540e-01
1900	0.6087	47.6619	6.488021e-01	-1.601133e+00	1.200000e+01	0.000000e+00	2.355655e-01	5.548106e-01
2000	0.6939	45.8633	6.417004e-01	-1.658413e+00	1.000000e+01	0.000000e+00	2.507978e-01	5.673999e-01
2100	0.6538	44.9640	6.440185e-01	-1.682807e+00	1.000000e+01	0.000000e+00	2.650504e-01	5.707692e-01
2200	0.5200	44.7842	6.388619e-01	-1.663372e+00	1.000000e+01	0.000000e+00	2.662963e-01	5.451841e-01
2300	0.5849	45.3237	6.431031e-01	-1.606699e+00	1.000000e+01	0.000000e+00	2.262894e-01	5.833015e-01
2400	0.6415	45.3237	6.420174e-01	-1.632303e+00	1.000000e+01	0.000000e+00	2.311651e-01	5.602600e-01
2500	0.6316	45.1439	6.370829e-01	-1.593468e+00	1.000000e+01	0.000000e+00	2.330483e-01	5.791215e-01
2600	0.6032	44.6043	6.301286e-01	-1.621427e+00	1.000000e+01	0.000000e+00	2.346975e-01	6.058932e-01
2700	0.6379	45.1439	6.383935e-01	-1.668238e+00	1.000000e+01	0.000000e+00	1.920183e-01	6.010156e-01
2800	0.5962	45.5036	6.371138e-01	-1.696158e+00	1.000000e+01	0.000000e+00	1.850399e-01	6.259016e-01
2900	0.5532	44.9640	6.425273e-01	-1.682209e+00	1.000000e+01	0.000000e+00	1.873665e-01	5.710157e-01
3000	0.5472	45.6835	6.412934e-01	-1.670456e+00	1.000000e+01	0.000000e+00	1.853890e-01	5.697219e-01
3100	0.5714	45.6835	6.456722e-01	-1.638282e+00	1.000000e+01	0.000000e+00	2.042603e-01	6.388282e-01
3200	0.5357	45.6835	6.440686e-01	-1.617758e+00	1.000000e+01	0.000000e+00	1.828431e-01	5.222518e-01
3300	0.5079	45.3237	6.483134e-01	-1.579950e+00	1.000000e+01	0.000000e+00	2.011689e-01	5.359642e-01
3400	0.6042	45.1439	6.466843e-01	-1.592512e+00	1.000000e+01	0.000000e+00	1.981878e-01	5.325668e-01
3500	0.5556	46.4029	6.376116e-01	-1.579598e+00	1.000000e+01	0.000000e+00	1.663206e-01	5.310940e-01
3600	0.5645	47.1223	6.304445e-01	-1.554724e+00	1.000000e+01	0.000000e+00	1.659533e-01	5.305777e-01
3700	0.3800	45.8633	6.313373e-01	-1.550909e+00	9.000000e+00	0.000000e+00	1.720590e-01	5.269637e-01
3800	0.6078	46.9424	6.272683e-01	-1.570636e+00	9.000000e+00	0.000000e+00	1.700261e-01	5.330331e-01
3900	0.4717	46.5827	6.262026e-01	-1.569496e+00	8.000000e+00	0.000000e+00	1.841579e-01	5.571626e-01
4000	0.6739	45.5036	6.183516e-01	-1.540589e+00	7.000000e+00	0.000000e+00	1.658346e-01	5.613958e-01
4100	0.5082	46.0432	6.109427e-01	-1.571998e+00	7.000000e+00	0.000000e+00	1.638291e-01	5.974173e-01
4200	0.4444	45.5036	6.111693e-01	-1.548325e+00	7.000000e+00	0.000000e+00	1.638302e-01	5.539084e-01
4300	0.6512	46.2230	6.050313e-01	-1.594311e+00	7.000000e+00	0.000000e+00	1.635758e-01	5.482474e-01
4400	0.6000	46.0432	6.090308e-01	-1.597724e+00	7.000000e+00	0.000000e+00	1.740202e-01	5.654457e-01
4500	0.6333	46.0432	6.149135e-01	-1.575126e+00	6.000000e+00	0.000000e+00	1.618435e-01	5.279207e-01
4600	0.5745	45.3237	6.210665e-01	-1.607467e+00	6.000000e+00	0.000000e+00	2.077367e-01	5.793578e-01
4700	0.5172	45.3237	6.201211e-01	-1.638096e+00	6.000000e+00	0.000000e+00	1.633407e-01	5.776603e-01
4800	0.6792	46.2230	6.194927e-01	-1.625839e+00	6.000000e+00	0.000000e+00	1.305267e-01	5.458628e-01
4900	0.6000	45.3237	6.082899e-01	-1.637272e+00	6.000000e+00	0.000000e+00	1.301167e-01	5.411064e-01
5000	0.7241	44.9640	6.074961e-01	-1.603691e+00	6.000000e+00	0.000000e+00	1.340796e-01	5.409797e-01
5100	0.6515	45.8633	6.119523e-01	-1.570989e+00	6.000000e+00	0.000000e+00	1.357982e-01	5.739610e-01
5200	0.6667	44.9640	6.181047e-01	-1.599858e+00	6.000000e+00	0.000000e+00	1.358970e-01	5.464768e-01
5300	0.6140	44.6043	6.199097e-01	-1.604262e+00	6.000000e+00	0.000000e+00	1.313657e-01	5.355218e-01
5400	0.5000	43.1655	6.242234e-01	-1.575092e+00	6.000000e+00	0.000000e+00	1.288557e-01	5.555222e-01
5500	0.5577	42.9856	6.187743e-01	-1.588853e+00	6.000000e+00	0.000000e+00	1.488824e-01	5.289274e-01
5600	0.3958	43.3453	6.162480e-01	-1.610873e+00	5.000000e+00	0.000000e+00	1.668067e-01	5.608827e-01
5700	0.4912	42.6259	6.193830e-01	-1.583117e+00	5.000000e+00	0.000000e+00	1.698143e-01	5.610332e-01
